,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
333,Principal Engineer I SW - Linux System Programming in C++,Harman Connected Services Corporation India Pvt.,7-11 Yrs,Not disclosed,Pune," Understand the requirements, design, develop and debug system SW in the field of automo...",android,automotive electronics management linux system programming programming in c system architecture project management,8 Days Ago,2023-03-05
334,Opening For Senior Java Developer / Senior Software Engineers,Argano Software,6-9 Yrs,12-22 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR", Ensure progression and escalate as required Requirements: Three (3)+ years of experienc...,D365,Dynamics 365 java microsoft dynamics ax microsoft dynamics dynamic senior,2 Days Ago,2023-03-05
335,Software Developer - ADAS/AD,Cyient,6-8 Yrs,Not disclosed,"Visakhapatnam, Warangal, Hyderabad/Secunderabad, Kakinada, Chennai, Coimbatore, Noida, Mumbai, New Delhi, Pune, Mysore/Mysuru, Ahmedabad, Gurgaon/Gurugram, Bangalore/Bengaluru", 6 to 8 years of experience in development of software product requirement analysis to m...,c,embedded systems matlab python linux advertising software software development,30+ Days Ago,2023-03-05
336,Senior Software Engineer (Strong Core Java + Big Data Developer),Nuance India,5-8 Yrs,Not disclosed,Pune," Education: Bachelors in Computer Science or Software Engineering, or equivalent work ex...",Core Java,data microsoft azure java+ multithreading docker python scrum,19 Days Ago,2023-03-05
337,Senior Software Engineer (Java Developer),AgreeYa Solutions,5-9 Yrs,Not disclosed,Pune, ESSENTIAL DUTIES AND RESPONSIBILITIES . . Design and develop new software by applying t...,sql,java development oracle jsp mysql xml hibernate j2ee,30+ Days Ago,2023-03-05
338,Senior Developer /Developer,Calsoft,3-10 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru", 3 to 10 years of good experience in C/C System Programming experience is mandatory Expe...,unix,linux programming management socket programming networking system network management,30+ Days Ago,2023-03-05
339,Senior Engineer - System Programming,Compugain Solutions India,6-11 Yrs,Not disclosed,Bangalore/Bengaluru, Leader of small team/mentor Self-directed within management guidelines May give directi...,languages,diagnostics senior product development information technology sockets software software development,30 Days Ago,2023-03-05
340,EDP officer | Urgently Required | majuragate|| surat,Aakash Institute,0-4 Yrs,3-4.5 Lacs PA,"Navi Mumbai, Surat, majuragate", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,8 Days Ago,2023-03-05
341,Deputy Manager -EDP,J Mitra And Co,12-20 Yrs,7-8 Lacs PA,New Delhi(Okhla)," To determine, establish, scheduling, implementation of the training requirement of the ...",servers,Networking Computer Hardware Oracle ERP Firewall management software computer,2 Days Ago,2023-03-05
342,EDP officer | Urgently Required | Bhavnagar,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Bhavnagar, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,2 Days Ago,2023-03-05
343,EDP Officer,Aakash Educational Services (AESL),2-4 Yrs,2-3.5 Lacs PA,"Kochi/Cochin, Hyderabad/Secunderabad, Nellore"," Must have any Bachelors degree. Assist Branch Head, ABMs, Regional leadership with requ...",edp,advance excel dtp operator mis advanced excel excel data dtp,9 Days Ago,2023-03-05
344,EDP officer | Urgently Required | varaccha|| Surat,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Surat, varaccha", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,photoshop hlookup operations advanced excel vlookup management data management,8 Days Ago,2023-03-05
345,EDP officer | Urgently Required | Gandhinagar(Gujarat),RMW India Services,0-4 Yrs,3-4 Lacs PA,"Gandhinagar, Navsari, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP Management,Report Preparation Advanced Excel Data Operations HLOOKUP corel draw vba vlookup,4 Days Ago,2023-03-05
346,EDP EXECUTIVE,Binod Hyundai,1-3 Yrs,Not disclosed,Angul," Functional Area: WORD, EXCEL, PHOTOSHOP Qualification Required: MUST BE GRADUATE Experi...",edp,excel photoshop billing Executive EDP,30+ Days Ago,2023-03-05
347,Opening For EDP Assistant at Ahmedabad Location,Multi Mantech International,2-5 Yrs,2.75-4 Lacs PA,Ahmedabad, Candidate should have experience in managing the Hardware components,server,assistance server installation firewall installation edp serv Firewall protection,9 Days Ago,2023-03-05
348,EDP Operator,WSD Consultant,0-15 Yrs,Not disclosed,"Noida, Gurgaon", Controls the paper making software and prepares all printing materials. Controls other ...,accessories,management operations preventive maintenance database management system counselling printing preventive,30+ Days Ago,2023-03-05
349,EDP officer | Urgently Required | Golibar Maidan|| Pune,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Nagpur, Pune, golibar maidan", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,management edp management data analysis operations office analysis advanced excel,17 Days Ago,2023-03-05
350,EDP - EXECUTIVE,Saphire Honda,1-6 Yrs,Not disclosed,Bengaluru, EDP-EXECUTIVE Job Description - Training new staff existing on the entire process produ...,executive training,edp dbms puc training product training Training Executive Executive EDP,30+ Days Ago,2023-03-05
351,ERP/EDP Executives,Singapore International School,2-4 Yrs,Not disclosed,Mumbai, ERP/ EDP Executives,desk,telephony erp relationship helpdesk telephony support customer relationship customer service,30+ Days Ago,2023-03-05
352,EDP Incharge,Mycitypune,3-4 Yrs,Not disclosed,Pune, Candidate should have experience in the same field for 3- 4 years. Salary : No bar for ...,sql,oracle operating systems real time pcr html languages time real time operating system,30+ Days Ago,2023-03-05
353,EDP Officer,Aakash Educational Services (AESL),1-6 Yrs,2-3.5 Lacs PA,"Guntur, Kolar, Mangaluru/Mangalore", Job Title: EDP OfficerDivision/Department: Branch Operations Reports To: Assistant Bran...,DTP,computer vba microsoft operating ms office office computer operating,16 Days Ago,2023-03-05
354,Hiring For EDP Officer,Aakash Educational Services (AESL),1-3 Yrs,2.5-3.5 Lacs PA,"New Delhi, Bulandshahr, Faridabad"," Also ensure, adherence to processes and operational compliance for managing the databas...",advanced excel,Macros pivot edp coral microsoft formatting hlookup,23 Days Ago,2023-03-05
355,EDP officer | Urgently Required | Manjalpur || Vadodara,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Bharuch, Surat, Vadodara", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,8 Days Ago,2023-03-05
356,EDP officer ( DTP Operator ) | Aakash Institute | Varachha,Parth Associates,0-5 Yrs,2-4 Lacs PA,"Bhavnagar, Navsari, Surat", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP,VLOOKUP Corel Draw Advanced Excel MS Office process operating institute,2 Days Ago,2023-03-05
357,Urgent hiring| EDP officer/DTP Operator| Mumbai-Maharashtra,Parth Associates,0-5 Yrs,2-4 Lacs PA,"Kalyan/Dombivli, Ghatkopar, Andheri", Analyzing data and make reports as per requirement Providing accurate and timely inform...,EDP,VLOOKUP Corel Draw Advanced Excel MS Office process operating processing,19 Days Ago,2023-03-05
358,EDP officer | Urgently Required | Ahmednagar || Nagpur,Parth Associates,0-5 Yrs,3-4 Lacs PA,"Chandrapur, Nagpur, Ahmednagar", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,photoshop corel draw microsoft advanced excel excel management vlookup,30+ Days Ago,2023-03-05
359,EDP officer | DTP operator | Aakash Institute | Navi Mumbai,RMW India Services,0-4 Yrs,3-4.5 Lacs PA,"Navi Mumbai, ghatkopar, Andheri", Analyzing data and make reports as per requirement Providing accurate and timely inform...,MS Office,corel draw vba vlookup ms access data management operations data entry operation,25 Days Ago,2023-03-05
360,Senior Executive - Logistics | Gurgaon,ReNew Power,2-6 Yrs,3-5 Lacs PA,Gurgaon/Gurugram, Hi We are looking for Senior Executive -Logistics for Gurgaon Location in SCM Team Plea...,inco terms,reverse logistics Logistics Operations Cha Logistics contracts scm rate contracts,1 Day Ago,2023-03-05
361,Logistics Executive - Bisleri - Hyderabad,Bisleri,2-7 Yrs,3-4.5 Lacs PA,Hyderabad/Secunderabad, Only Male Candidates are preferred. . Experience: . . minimum 2 to 8 years experience i...,Inbound Logistics,logistics Dispatch Transport Operations transportation operations logistics operations warehouse inventory,1 Day Ago,2023-03-05
362,Junior Executive / Executive - Inbound Logistics,Honda Logistics,0-2 Yrs,Not disclosed,Kolar, - Candidate should be able to handle the customers,material management,Inventory Management management handling production materials logistics inbound,5 Days Ago,2023-03-05
363,Logistics Executive,Birla Open Minds Education,2-3 Yrs,2.25-3.5 Lacs PA,"Mumbai, Mumbai (All Areas)", . Must be a Graduate (Any stream) Must be able to read and write EnglishCandidate shoul...,logistics,tax invoice invoicing warehouse operations executive logistics warehouse operations vendor management,1 Day Ago,2023-03-05
364,Logistics Executive,K12 Techno Services,5-6 Yrs,Not disclosed,Bangalore/Bengaluru, Roles and Responsibilities 1. The candidate should have Logistics operations experience...,Vendor Management,Logistics b2b marketing supply chain management planning vendor transportation,1 Day Ago,2023-03-05
365,Sr. Executive Logistics,Imerys Ceramics (india),3-5 Yrs,4-5 Lacs PA,Hyderabad/Secunderabad(Begumpet), Education and Experience requirements: . . . . A Bachelor / Master degree (Purchase / L...,Strategically plans and manages logistics,transportation and customer services. Directs transport costs and efficiency. management unloading logistics cost executive logistics,1 Day Ago,2023-03-05
366,Manager / Senior Manager  Logistics,Rashmi Metaliks Limited,15-20 Yrs,Not disclosed,Kharagpur," Employment Type: Full Time, Permanent. . About Us . . Rashmi Group is one of the fastes...",road logistics,Outbound Logistics Transportation Logistics Planning Logistics negotiation logistics management inbound logistics,2 Days Ago,2023-03-05
367,Urgent Requirement -Field/Logistics Executive - Delhi/NCR,Accuprobe Healthcare & Diagnostics,02 Mar - 11 Mar,Not disclosed,Delhi / NCR(Jhilmil Industrial Area), Male Candidates Required. . . . . . . . . Freshers / Experience both can applyMust have...,Phlebotomy,Field Work Logistics lab biochemistry collections ncr field service,2 Days Ago,2023-03-05
368,Logistics Executive,Adecco Group,0-0 Yrs,2-2.5 Lacs PA,Bangalore/Bengaluru(Jigani), Experience: Fresher Male candidates only . . Qualification : Bcom. . Salary 15000 NTH C...,bcom,Communication Skills logistics Logistics Operations Supply Chain Operations supply executive logistics operations,5 Days Ago,2023-03-05
369,Assistant Manager - Logistics,Birla Open Minds Education,2-4 Yrs,3.25-5 Lacs PA,"Mumbai, Mumbai (All Areas)", Must be a Graduate (Any stream) Past experience of managing Logistics team and vendors ...,logistics management,accounting Warehouse Operations assistance cost efficiency warehouse cost vendor management,1 Day Ago,2023-03-05
370,Manager - Logistics,Birla Open Minds Education,3-6 Yrs,3.5-8 Lacs PA,Mumbai (All Areas), . Must be a Graduate (Any stream) Past experience of managing Logistics team and vendor...,Logistics Operations,vendor management warehouse material procurement vendor development logistics inventory management,1 Day Ago,2023-03-05
371,Operation Assistant/ Executive | Leading Logistics Company,Aabhaas Manpower Services,0-3 Yrs,1.5-2 Lacs PA,"Dhule, Nagpur, Pune", To supervise the loading and unloading process done by Labours and Barcode Scanning. Ke...,fresher,Transportation logistics Courier Operations leadership supply company,9 Days Ago,2023-03-05
372,US Logistics Executive,Orbit Global,0-5 Yrs,Not disclosed,Gurgaon/Gurugram, Must be ready to work in Night shifts (5:30pm to 2:30am) Eligibilities : Must be minimu...,Logistics,communication skills logistics operations operations execution Logistics Execution,11 Days Ago,2023-03-05
373,Logistics Executive,Catalysts Bio Technologies,1-4 Yrs,2-3 Lacs PA,Sahibabad," Must have knowledge of computer, excel Must have exposure in email writing",Tally,Freight Management Logistics Planning Logistics Management route3 route planning warehouse inventory,3 Days Ago,2023-03-05
374,Deputy Manager Logistics (West),Rekrut India,4-8 Yrs,6.5-8.5 Lacs PA,Thane," Qualification: Graduate from Any stream, preferably Mechanical/ Production. Suggest mod...",logistics coordination,documentation logistics management cargo handling management planning order management transportation,1 Day Ago,2023-03-05
375,Logistics Executive,Belhem Hospitality,1-6 Yrs,Not disclosed,"Hosur, Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", DispatchingInvoicing and Shipping DocumentationWarehouse OrganizationVendor Coordinatio...,Logistics,last mile management vendor supply executive logistics delivery vendor management,3 Days Ago,2023-03-05
376,Manager Logistics,Michelin,3-7 Yrs,Not disclosed,Pune," Creates an environment, with pairs, that encourages empowerment, collaboration and auto...",quality,management team development logistics management quality standards performance staffing logistics,9 Days Ago,2023-03-05
377,Regional Logistics Executive - West,Shell Pvt Ltd,2-5 Yrs,Not disclosed,Mumbai, Create / change an inbound delivery and schedule a dock time for products (packed and b...,service level,career development auditing supply chain management regional contracts global operations,12 Days Ago,2023-03-05
378,"Logistics Executive (Rajpura, Punjab)",Godrej & Boyce (G&B),5-10 Yrs,Not disclosed,Rajpura, Team Management and Development . . Service Levels . . Housekeeping & Safety . . MIS . ...,Warehouse,logistics analytics freight management freight executive logistics mis management,9 Days Ago,2023-03-05
379,Secretary,Space Consultant,0-2 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru", Exposure and experience in the e-filing module of the Indian Patent office. . Graduatio...,e-filing,communication skills ipr secretarial activities secretarial Secretary,3 Days Ago,2023-03-05
380,Secretary ( Renewal),Space Consultant,2-5 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru", Good experience in the payment of annuities (Indian & foreign) tracking deadlinesExposu...,e-filing,communication skills secretarial activities renewals Form 16 Form 6,3 Days Ago,2023-03-05
381,Secretary - Female - Plant - Silvassa,Columbia Petro Chem,5-10 Yrs,Not disclosed,Dadra & Nagar Haveli/Silvassa, Must be a FEMALE having experience into Secretarial Function i.eCandidate from SILVASSA...,Secretary,manufacturing industry secretarial activities daily reports Female Secretary interpersonal skill report writing reporting,1 Day Ago,2023-03-05
382,Secretary - Coimbatore location,Adecco Group,0-1 Yrs,1-1.5 Lacs PA,Coimbatore, We are looking for Secretary (Admin) for reputed MNC company in Coimbatore (kalapathi) ...,secretary,calendar management management secretarial activities office office operations front operations,12 Days Ago,2023-03-05
383,Secretary,Gopal Enterprises,4-5 Yrs,Not disclosed,Mumbai, Graduate with Good English spoken and written communication skillsCandidate staying in ...,Secretary,correspondence secretarial activities shorthand Facility Management management computer knowledge system,2 Days Ago,2023-03-05
384,Secretary,Lodha Group,4-9 Yrs,Not disclosed,Thane," To be successful as a secretary, you must be able to multitask Secretary Requirements: ...",Secretarial Skills,interpersonal skill secretarial activities administration interpersonal skills interpersonal,12 Days Ago,2023-03-05
385,Secretary,Kovai Medical Center and Hospital (KMCH),1-6 Yrs,Not disclosed,Coimbatore, Female candidates only preferable. . MBA in any specilization /msw or any other PG degr...,screening,Exceptional communication skills administration secretarial activities office equipment interpersonal office handling,4 Days Ago,2023-03-05
386,Secretary,Ramcher Ventures Llp,1-4 Yrs,Not disclosed,Bangalore/Bengaluru, . Must Be Able to Communicate with English Speaking Director. . MS Windows / Office (Wo...,office,secretarial activities front office front,3 Days Ago,2023-03-05
387,Manager - Personal Secretary,Bajaj Finserv Ltd.,2-3 Yrs,Not disclosed,Pune, Graduate with min 2-3 years of relevant experience in personal secretary role Good know...,Claims,MIS Personal Secretary Scheduling MS Word Research Powerpoint Room,30+ Days Ago,2023-03-05
388,"Hiring For EA/Secretary- Mumbai, BKC",Steno House,2-7 Yrs,6-12 Lacs PA,Hybrid - Mumbai (All Areas)(Bandra Kurla Complex), Calendar Management Travel Arrangement MOMExcellent communication skills Prior secretar...,Executive Assistant,management secretarial activities secretarial operations travel assistance secretarial skills travel arrangements,1 Day Ago,2023-03-05
389,Secretary,Digities Technologies,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, Answering phone calls and redirect them when necessary Managing the daily/weekly/monthl...,secretarial activities,construction tally sec HR Secretary,8 Days Ago,2023-03-05
390,Vacancy For EA/ Secretary For Kolkata Location,Wpil,8-13 Yrs,Not disclosed,Kolkata, Job Specification: . . Age : Between 30 45 yrs. . Qualification: Any Graduate. Assist i...,secretarial activities,ea,9 Days Ago,2023-03-05
391,Steno Secretary,Capital Placement Services,0-5 Yrs,Not disclosed,New Delhi, English medium school background is a must Other Bachelor DegreeStenography and short h...,secretarial activities,ms office internet steno office english microsoft stenography,30+ Days Ago,2023-03-05
392,Secretary,Space Consultant,0-2 Yrs,Not disclosed,Mumbai, Secretary In Patent Department. Skills and Experience: - 1. Experience of around 0-2 ye...,secretarial activities,analytical skills ipr relationship analytical analytical skill analytics Secretary,30+ Days Ago,2023-03-05
393,Walk -in For Hospital Secretary @ MIOT International (Only Female).,MIOT International,0-5 Yrs,Not disclosed,Chennai, Desired Candidate Profile . . Should have good communication skills Good typing skills ...,secretarial activities,typing Medical communication skills handling administration hospital health,9 Days Ago,2023-03-05
394,CS Secretary,Kukulkan Manpower,0-1 Yrs,Not disclosed,Coimbatore, The Institute of Company Secretaries of India (ICSI)The Company Secretary is: . . An in...,marketing,corporate governance public relations relationship compliance governance law cs,30+ Days Ago,2023-03-05
395,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,Mumbai, Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,secretarial activities,scheduling ms office shorthand ups logistics office microsoft,30+ Days Ago,2023-03-05
396,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,"Mumbai, Navi Mumbai", Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,secretarial activities,scheduling ms office shorthand ups logistics office microsoft,30+ Days Ago,2023-03-05
397,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,Mumbai, Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,scheduling,ms office logistics office stenography microsoft shorthand dbms,30+ Days Ago,2023-03-05
398,Secretary,Acme Services,2-6 Yrs,Not disclosed,Mumbai," Provide administrative support as and when required Should be highly flexible, willing ...",ms office word,microsoft administration excel management dbms powerpoint office,11 Days Ago,2023-03-05
399,Requirement For Civil Engineer/Site Supervisor,MCM Flexi Cladding India Pvt. Ltd.,0-3 Yrs,Not disclosed,Mumbai (All Areas), Experience: 0 to 3 years (Freshers ).,site engineering,site site supervision engineering requirements civil engineering supervision civil,2 Days Ago,2023-03-05
400,Site Engineer - BELMAC,Belmac,3-5 Yrs,Not disclosed,Pune, Should have good knowledge of RCC buildings (high rises) and finish with a minimum of 3...,management,site engineering site resource management shuttering resource civil,1 Day Ago,2023-03-05
401,Site Engineer,Siemens,6-8 Yrs,Not disclosed,Gurgaon/Gurugram, Youll be responsible for interacting with vendor / customer for planning / executing th...,turbine,vendor mechanical production site site engineering steam turbine Siemens,1 Day Ago,2023-03-05
402,Civil Supervisor/Site Engineer(Jharkhand Candidate Only),Sashanka Agro Tech,2-7 Yrs,1.5-6 Lacs PA,Permanent Remote, -Interested Incumbent Should have Excellent Project Management Skills. . -Effective Lea...,Civil Construction,management skills Civil Site Engineering Administrative Skills civil administration management construction,2 Days Ago,2023-03-05
403,Civil Site Engineer,Electro Mechnico Projects,1-6 Yrs,1.5-3.5 Lacs PA,Tinsukia, Electro Mechnico Projects Pvt. Ltd. is currently hiring multiple candidates with a B.E....,Site Engineering,site project engineering engineering civil site engineering civil engineering project civil,2 Days Ago,2023-03-05
404,Site Engineer- Civil,Zeevika Livelihood Consultant,1-4 Yrs,Not disclosed,Lucknow, Experience in coordinating with clients . . A flexible team worker with problem solving...,civil,monitoring execution inspection management construction engineering site engineering,5 Days Ago,2023-03-05
405,Site Engineer Civil,Abdl Homes,8-10 Yrs,3-4.5 Lacs PA,Bhopal, Bachelors degree in Civil engineering . The Site Engineer will work closely with the pr...,Site Engineering,civil supervision site site planning site execution building construction labour,3 Days Ago,2023-03-05
406,Civil Site Engineer,Esfaw Realty,5-10 Yrs,3-6 Lacs PA,"Mumbai, Mumbai Suburban, Mumbai (All Areas)", Duties and Responsibilies of Site Engineer are as follows: . . Executing works as per a...,site engineering,execution site planning management labour control site execution construction project management,2 Days Ago,2023-03-05
407,Civil Site Engineer / supervisor -Maldives,Swagatham Resource Management India,01 Mar - 10 Mar,6-7 Lacs PA,"Chennai, Maldives", Civil Site Engineer - Salary 700-800 USD . Vacancy 5Civil supervisor- Salary 500-600 US...,civil,site engineering building site engineering civil site engineering civil engineering supervision,4 Days Ago,2023-03-05
408,Site Engineer,Onyx Consultancy,0-1 Yrs,Not disclosed,Mulund, Providing various accesses to the user as per the Project requirement iii) able to coor...,Erection,commissioning materials management material management compensation site site engineering,6 Days Ago,2023-03-05
409,Civil Site Engineer Estimator,Skyline Building And Infrastructure Constructions  And Consultants Sbic,0-5 Yrs,3.5-6 Lacs PA,"Rajkot, Surat, Vadodara", We will Give Preference to Those Candidate who has done Diploma or Certification in Qua...,Estimation,Rate Analysis Quantity Surveying Boq Preparation Civil Site Engineering management construction analysis,4 Days Ago,2023-03-05
410,Civil Site Engineer Estimator,Skyline Building And Infrastructure Constructions  And Consultants Sbic,0-5 Yrs,3.5-6 Lacs PA,"Unnao, Kannauj, Firozabad", We will Give Preference to Those Candidate who has done Diploma or Certification in Qua...,Estimation,Rate Analysis Quantity Surveying Boq Preparation Civil Site Engineering tender preparation tendering site,4 Days Ago,2023-03-05
411,Civil Site Engineer,Mansion Real Estate,0-5 Yrs,5-15 Lacs PA,"Hybrid - Chandigarh, Jaipur, Delhi / NCR", And The Overall Project Manager Providing Technical Advice And Solving Problems On Site...,Civil Construction,Civil Engineering Civil Supervision Civil 3D Civil billing execution industrial,3 Days Ago,2023-03-05
412,Sr Civil Site Engineer,Turtlemint,0-15 Yrs,Not disclosed,Pune, To arrange materials and equipments for the contractors and department workers. . - To ...,civil site supervision,contractor billing civil engineering construction site engineering labour civil site engineering manpower,30+ Days Ago,2023-03-05
413,Civil Site Engineer || Hyderabad,Syzygy Consultancy,4-9 Yrs,4-9 Lacs PA,Hyderabad/Secunderabad, Capable of Handle all types of site works. . capable of prepare vendor drawings /Autoca...,Civil Supervision,Site Planning Site Management Civil Site Engineering ra construction schedule construction engineering,2 Days Ago,2023-03-05
414,Civil Site Engineer Fresher,Strescon Industries Limited,0-2 Yrs,Not disclosed,Mumbai," Designing, manufacturing, and installing components that fulfill requirements. Analyzin...",civil,documentation cad technical documentation management technology management technical technology,3 Days Ago,2023-03-05
415,Site Engineer,Dynamic Staffing Services,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Site engineers provide technical advice about, plan, organise and supervise constructio...",sar,site supervision construction construction site mechanical site engineering Supervisor,3 Days Ago,2023-03-05
416,Site Engineer / Sr. Site Engineer,Abad Builders,3-4 Yrs,Not disclosed,Kochi/Cochin, Diploma / B-tech Civil Graduate (Gender Preference -Male ) with 3-4 years experience in...,scheduling,quality check management site engineering project project execution sr quality,1 Day Ago,2023-03-05
417,"Civil Site Engineer / Structural Engineer,2022 graduate Can also apply",Creative Hands HR,0-4 Yrs,5-7 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", 2022 graduate can also apply Qualification- Diploma / BE/ B.Tech(civil) Both Male & Fem...,civil engineer,civil project Site Engineering can bus site design structural design structural engineering,12 Days Ago,2023-03-05
418,Technoman/Site Engineer,Growel Softech,1-6 Yrs,2-2.25 Lacs PA,"Mumbai, Mumbai Suburban, Navi Mumbai, Pune, Bangalore Rural, Bangalore/Bengaluru, Mumbai (All Areas)", Male / Female - Male . . Communication skill - Local language and Hindi must . . Travel...,Site Engineer,Electricians site engineering electrical maintenance electricals site maintenance,3 Days Ago,2023-03-05
419,"Film / Video Production Crew - Director, Writer, Camera, Video Editing",Planetskool,2-7 Yrs,Not disclosed,Sonipat/Sonepat," Experienced experts and Interns are welcome to apply. . Full time only, no contract work",film,production music post make creative writing sound editing audio,23 Days Ago,2023-03-05
420,Hindi Call Center ( CCE ) Bpo JOB !! Fresher {10/12th} pass Apply NOW,Ocean,0-5 Yrs,1.5-6.5 Lacs PA,"Kolkata, Mumbai, Mumbai Suburban, Pimpri-Chinchwad, Pune, Bangalore Rural, Howrah, Bangalore/Bengaluru, Mumbai (All Areas)", Hindi Call Center ( CCE ) Bpo JOB !! Fresher {10/12th} pass Apply NOW Blended Process /...,Customer Service,Domestic BPO Customer Care Fresher Call Center calling non voice process telecalling,5 Days Ago,2023-03-05
421,BK- Urgent Hiring For International BPO - Call Center Voice Process,Intellecta Consultants,0-5 Yrs,2-4.25 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)", BPO Fixed Shift with Weekend off U.S / U.K / Australia BPO / India Shifts Sal upto 35k ...,Customer Service,calling back office non voice airlines web chat technical support chat process,2 Days Ago,2023-03-05
422,KJ-Urgent Hiring For International BPO - Call Center Voice Process,Intellecta Consultants,0-5 Yrs,2-6 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)", BPO Fixed Shift with Weekend off U.S / U.K / Australia BPO / India Shifts Sal upto 55k ...,BPO,domestic domestic bpo airlines international chat non voice chat process,2 Days Ago,2023-03-05
423,SG-Urgent Hiring For International BPO - Call Center Voice Process,Intellecta Consultants,0-5 Yrs,2-6.5 Lacs PA,"Pune, Mumbai (All Areas)", BPO Fixed Shift with Weekend off S / U.K / Australia BPO / India Shifts Simran.intellec...,BPO,Voice Process International BPO chat customer service technical chat process international,5 Days Ago,2023-03-05
424,Film Making Faculty,Reliance Animation,1-2 Yrs,Not disclosed,Pune, Position Film Making Faculty Position Film Making Faculty Work Experience 1 - 2 years L...,vfx,film making film training workflow,30+ Days Ago,2023-03-05
425,Back Office Operations Associate Non voice process,M/S Employee For You,0-5 Yrs,2.25-4.25 Lacs PA,"Temp. WFH - Chandigarh, Pune, Bangalore/Bengaluru"," Performing basic admin duties including printing, sending emails, and ordering office s...",Excel,Email ms office non voice internet back office voice operations,1 Day Ago,2023-03-05
426,Call For freshers - Process Executive - Medical & Life Science,Cognizant,0-0 Yrs,Not disclosed,"Kochi/Cochin, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore", Flexibility to work across multiple rotational shifts / night shifts Bachelors degree w...,communication skills,process calling medical strong communication skills science life sciences,2 Days Ago,2023-03-05
427,PUNE--Wipro Is Hiring For International Voice Process-HR Darshana,Wipro,0-3 Yrs,Not disclosed,Pune, Should be comfortable with Morning shiftsONLY people with experience in BPO can apply. ...,international voice process,international voice international process calling voice hiring spoken english,3 Days Ago,2023-03-05
428,Hiring For International Voice Process In Pune -HR Darshana,Wipro,0-0 Yrs,Not disclosed,Pune, Wipro PUNE is Hiring for International Voice Process.ELIGIBILITY:-Fresher and Experienc...,BPO,fresher International Voice Process communication skills international voice international process voice,5 Days Ago,2023-03-05
429,"Freshers required For Voice Process (Wipro, Pune)-HR Anjali",Wipro,0-1 Yrs,1.25-1.75 Lacs PA,Pune, Desired Candidate profile:Candidate should be Comfortable in WORKING FROM OFFICE.freshe...,communication skills,international voice process voice international voice voice process international process wipro,4 Days Ago,2023-03-05
430,Hiring For International Voice Process- PUNE- HR Amrita,Wipro,0-3 Yrs,Not disclosed,Pune, Job description:WIPRO is hiring for International Voice Process for Pune location.Eligi...,English,international voice process excellent communication skills communication skills international voice international voice process voice,4 Days Ago,2023-03-05
431,International Voice Process- PUNE (HR Sanhita),Wipro,0-2 Yrs,Not disclosed,Pune, NOT ELIGIBLE). . Shift- Should be comfortable with rotational and night shifts Permanen...,BPO,Customer Support international voice process Excellent Communication In English Voice Process communication skills customer service english,4 Days Ago,2023-03-05
